0,1,2,3,4,5,6,7,8,9,10,11,12
-992.0927,86.92899,-53.787407,-51.793148,14.167548,10.519358,-6.6512923,2.6147017,8.912385,-5.626546,-4.597312,4.2523503,0.822092
-156.45253,230.9606,-40.73433,-35.928207,24.082466,0.0,-26.7415,0.0,-5.0016117,-13.81941,0.0,3.857173,0.0
-101.51909,282.95068,-48.147568,-37.149353,40.8169,-22.02071,-39.248077,3.8558722,-2.1975846,-16.823198,-4.417651,-4.9242587,-6.058448
-115.636505,267.46365,-76.2918,-43.117218,43.99421,-24.52184,-32.886974,15.638655,4.4629,-16.306564,-5.2854934,0.16212416,3.721666
-177.4247,242.47609,-17.521618,-33.011253,32.39469,7.186911,-24.067562,-0.29853147,3.2913656,-16.985012,-7.0114326,2.2946794,-5.6538405
-199.9811,238.59703,-37.14161,-35.330215,47.6718,25.270931,-27.726223,-6.76581,-1.6347246,-19.473896,-4.1803074,8.272316,-3.0931036
-184.68297,230.98764,-32.755997,-23.469131,54.731415,15.222797,-21.00026,3.7481792,2.8051915,-16.483595,-7.048973,3.0566385,-5.978148
-209.7969,210.34247,-18.805592,-17.845398,48.624268,21.478,-21.351723,-9.413204,0.8588445,-2.9043465,-7.055045,-8.278053,-10.011074
-170.15779,262.80862,-41.381012,-48.077747,24.276129,-16.287811,-39.26321,4.5842047,10.373884,-13.427059,-12.924244,3.768263,6.7321777
-176.70306,239.80167,-63.429733,-3.3906384,46.042538,-5.6357017,-30.92683,9.870432,3.5045843,-17.361252,-7.8310037,-0.8098107,5.3351927
-107.53064,255.97366,-56.387634,-36.305073,57.995598,0.27332333,-31.804989,3.180266,-8.321888,-20.232344,-3.0039568,-1.4214096,-6.4288907
-169.68564,245.81519,-44.364532,-28.95941,68.68501,21.0955,-34.499615,-11.050141,-10.057015,-19.851753,-10.153828,-4.137756,-11.102506
-247.6423,190.9111,-28.924583,2.6480958,46.868816,16.064524,-31.284098,6.3653126,10.020807,-11.185031,-9.230213,1.983374,-3.5597186
-254.5382,220.50714,-13.824691,-26.215397,32.06283,-0.216712,-27.2758,10.440095,15.196111,-3.2104938,-3.2214985,3.4931676,-0.010956407
-365.07278,148.0423,12.889717,6.686309,33.258316,19.38808,-29.741268,-3.9790459,7.6847734,-0.020973444,-8.690338,-4.547991,-7.177902
-270.00183,243.93651,-8.061108,-32.17279,30.918291,18.35787,-19.81941,1.333518,0.7125081,-19.032257,-13.278738,-6.295335,-15.310706
-275.30096,197.11063,-9.178545,-24.175945,38.10476,16.22527,-9.69287,2.856587,4.0708437,-16.32476,-4.9804916,3.2650576,-8.189439
-263.15955,203.8869,-14.250563,-34.118256,40.24008,19.915548,-15.115995,-1.5308325,1.8240409,-11.971426,-8.306051,-3.5667307,-9.670822
-244.86266,191.94417,-18.518307,-36.565315,30.66545,16.06409,-17.646217,-0.402685,2.3177238,-15.967877,-7.1079187,8.692938,3.6452508
-238.31396,243.86752,-21.172127,-30.240524,63.38749,31.634272,-29.73088,-12.425154,2.3642254,-11.482653,-14.021467,0.5749074,-1.1595938
-322.45557,212.25941,6.745723,-10.778435,39.330643,18.461353,-16.22601,-0.91103536,8.936661,-5.6689196,-14.537934,1.534356,1.9479973
-199.46129,220.49399,-23.364252,-35.800507,32.12991,0.72852045,-25.19976,0.4927659,1.2775445,-16.660389,-10.073559,0.22513211,-1.9465992
-263.40607,197.06323,-27.868315,-44.364952,16.362366,0.03532052,-20.330116,-2.6364121,-3.0565414,-15.95059,-8.434066,-2.7634444,-4.573388
-340.70465,155.29901,-8.5239105,-17.288162,38.598206,13.569094,-3.5939255,2.9503536,0.047062695,-6.84733,-7.029351,1.7540995,-0.21347645
-232.83104,249.55688,-5.0657673,-23.260872,39.85454,8.791794,-18.02697,8.580849,8.7769375,-18.022633,-15.078941,0.11111283,-0.65779996
-336.1505,229.51292,7.8669286,8.631054,66.24861,29.337742,-28.894638,0.26758844,16.606464,-11.845734,-16.273706,-3.5441704,-12.248831
-259.4464,172.23889,4.3879156,5.598299,37.11737,6.678279,-4.293911,3.903131,2.6975036,-2.0980065,0.5582746,-1.8822329,-4.756594
-283.28763,200.27374,-11.79986,-29.281546,41.58486,25.862522,-18.150673,-8.593602,5.8359323,-11.399338,-6.9410706,8.343216,-0.8241353
-304.17218,206.87589,0.95886755,1.8291305,47.35039,7.044961,-10.2940235,10.960502,8.176303,-4.103684,-9.19412,-5.599201,-6.247649
