0,1,2,3,4,5,6,7,8,9,10,11,12
-327.05713,222.99486,-47.38041,-36.21019,52.671368,12.902122,-39.555103,-2.115633,2.462352,-28.315096,-18.343513,2.3244672,-8.971676
-354.88785,236.6772,-13.670507,-28.642788,38.52555,15.7975645,-27.564564,2.0662405,10.900005,-19.345406,-18.948065,-0.6059307,-4.608093
-342.53323,236.7948,-28.397564,-35.452675,39.501373,12.756014,-30.31165,-2.7446375,1.6535308,-29.999107,-20.600887,5.917063,-4.4310207
-410.9371,228.42563,-2.6675591,-27.980652,35.557297,19.793507,-14.766012,6.62844,11.937377,-16.277203,-18.73937,2.1658628,-1.9882896
-329.9328,251.95663,-39.814167,-40.745445,50.75998,12.880054,-30.178736,11.836124,17.06139,-12.481994,-0.87405807,15.054632,-5.397857
-289.5679,257.1526,-45.506992,-42.99886,54.770508,6.5421705,-34.334503,15.652426,21.178986,-20.256966,-5.409701,16.8508,0.94146556
-308.261,242.92947,-49.820442,-44.347694,54.802513,10.500469,-35.221558,10.867013,18.596684,-18.589039,-3.437086,23.8449,10.355339
-293.7616,246.46204,-55.464424,-47.580055,54.82791,10.203066,-37.212654,10.420193,18.879698,-16.48101,-6.2582607,16.759398,3.3370497
-305.3936,241.91525,-58.138054,-48.245995,51.352203,5.312113,-38.019333,11.259957,18.860111,-19.213186,-8.844532,17.47274,4.204902
-295.42847,252.45505,-47.451572,-44.60376,54.566856,9.545963,-33.71134,13.89916,21.14436,-15.851444,-5.1515517,16.976818,-3.4913101
-302.2729,238.70645,-51.761795,-43.541634,52.00776,1.6201154,-39.272945,7.770152,14.942896,-20.779198,-10.051848,1.3721157,-10.130773
-328.2683,168.71411,-25.25586,-27.675644,36.941196,6.6987333,-33.02207,-0.73329467,18.745768,-4.3023005,-14.441151,-4.05816,-0.2455108
-324.19513,243.16142,-17.798336,-36.405228,32.82811,4.0179253,-32.09254,-1.1072078,9.898993,-16.316885,-17.513393,5.840992,-4.7895336
-342.0017,246.47691,-14.466816,-35.15264,31.335342,6.4387197,-30.725893,3.1336112,11.789774,-24.801544,-23.993881,0.35570723,-6.564334
-351.25577,232.84277,-13.025713,-24.064775,50.248486,24.09885,-22.894878,-2.0388145,8.512147,-25.30539,-21.052567,3.1058984,-5.991518
-369.49823,223.70581,-8.149107,-20.55704,44.327896,29.249252,-17.855518,1.2430285,9.8600235,-16.016241,-15.238778,0.3893928,-5.177017
-355.0411,249.44412,-13.130225,-35.3338,40.395905,11.854591,-30.23011,3.596868,13.401913,-22.33119,-19.682913,0.39484847,-10.603819
-369.2643,252.74915,-15.931352,-31.848848,30.789331,1.746273,-32.325523,8.477091,18.991594,-19.514954,-16.372131,5.0716457,-8.513651
-380.66074,215.36249,4.065864,-18.180794,39.116688,21.444511,-16.250208,2.0088727,13.893426,-15.085921,-18.462223,-1.3217294,-3.8610315
-364.42758,216.03578,-12.226863,-16.734997,36.81769,17.577152,-23.974943,0.89923847,6.8758926,-17.667423,-14.498646,1.9187084,-4.643009
-375.92154,229.59747,-7.6198235,-23.479338,43.4914,17.43832,-26.955906,-2.7815924,13.323513,-17.269901,-17.191914,3.9077911,-4.3901415
-360.41223,270.19446,-27.44746,-42.23439,47.319008,11.296293,-38.520645,-0.5534642,10.493217,-25.224674,-15.376663,8.184261,-5.17951
-358.98694,228.64053,-4.096166,-15.5617075,50.00148,17.502295,-30.550465,2.161439,16.208221,-17.804405,-20.543352,4.1051955,-6.230268
-416.45883,193.07834,-3.071557,-13.11128,46.05448,31.435003,-16.317661,-8.382758,5.4658623,-10.511987,-7.6713996,6.80158,-0.061121345
-341.4616,234.00078,-52.675163,-28.685818,69.14321,23.105804,-40.358814,0.27134407,16.110916,-22.019241,-14.430833,12.653557,-2.4266076
-404.45755,225.45428,-4.578869,-25.835243,27.74665,17.319576,-20.792843,10.850634,11.002485,-16.503708,-8.490165,13.147577,1.1645226
-358.17838,251.8617,-10.836929,-32.95233,34.371284,1.6664724,-34.044975,3.5262752,17.181702,-20.879467,-19.697018,6.9904604,-6.4182262
-373.6872,252.30817,0.46398014,-31.085629,33.66954,11.283398,-28.922314,5.230161,16.470013,-17.529074,-24.573467,-2.8834486,-6.1478634
-385.97327,210.00743,-23.308239,-17.72922,47.434204,18.102274,-30.701237,3.9472764,10.353904,-19.428783,-12.867949,9.863678,-8.044082
-363.2319,246.32684,-19.507214,-31.606375,49.29023,21.074997,-25.787811,-3.4870296,3.2358036,-25.419771,-18.42046,3.0710359,-9.252919
-391.13983,219.30716,1.0763919,-18.937378,35.55323,12.5029545,-28.026812,3.1228688,15.538295,-15.354588,-21.33891,-6.5355573,-8.097367
-383.7507,245.68652,5.4556603,-27.845444,27.867128,2.9638963,-29.221998,1.7056837,8.776812,-24.356504,-22.128258,-1.5300641,-6.324315
-386.30615,202.17307,-5.5023527,-20.60796,48.88865,22.581076,-18.251263,4.575928,8.6814,-18.724226,-14.482003,6.1787786,-7.8517466
-415.95038,229.27817,-13.594073,-21.218023,47.554695,9.993315,-26.590424,2.7901978,12.402618,-21.03313,-15.57415,2.2384274,-9.701875
-434.698,207.40897,-11.41911,-20.190487,39.29552,13.140399,-27.062325,3.966145,13.328116,-14.017347,-13.821283,8.5389185,-0.1886419
-346.6773,230.32077,-10.682991,-27.32883,45.254654,20.657055,-28.092926,-0.9366741,7.9212713,-22.536701,-21.548933,-0.6476426,-10.318809
-391.90665,192.47299,31.56586,-1.9188359,27.722538,-5.141117,-25.934809,-0.27484375,14.229004,-10.836267,-17.899792,-2.242872,-8.4706955
-398.95947,234.85742,3.3617167,-23.59362,27.387434,-0.21770996,-34.45052,0.467462,14.891336,-12.595964,-17.04579,3.8109655,-3.5979083
