0,1,2,3,4,5,6,7,8,9,10,11,12
-786.73865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-287.75476,225.5571,-50.81833,-39.64876,26.104506,-13.454385,-18.922049,13.642487,2.4823859,-5.4311914,7.887844,5.598251,-3.8360512
-299.67728,244.27832,-41.51072,-43.552002,32.273155,-1.5419452,-16.900665,15.639894,11.172147,-3.1303184,5.219481,1.3198907,-8.022341
-323.34152,250.1845,-43.46759,-60.545208,18.413002,-5.487914,-17.895298,19.612038,19.564323,-5.6405153,-0.32863176,3.1381402,-5.1672697
-397.4457,272.11703,-67.335976,-75.53734,18.11979,-11.961744,-25.94674,11.212204,6.370187,-11.678672,-3.847468,-4.0275445,-7.3471165
-375.8024,223.07913,-53.14724,-72.8481,9.765524,-8.406685,-29.377785,6.6592784,13.621304,-6.2454004,-4.892103,-0.7988312,-10.579315
-331.55057,256.20074,-35.887997,-45.715675,34.56189,9.888878,-8.310909,24.388432,22.12496,-4.1841497,-8.065015,-3.2483091,-3.6353183
-344.7431,262.5584,-33.78817,-48.695087,33.319736,10.067104,-7.2365627,17.56356,16.977259,-2.570838,-5.174937,-5.9758515,-10.321486
-310.53506,239.5223,-32.927643,-40.398727,27.570969,7.573615,-1.3688347,20.632381,10.025387,-1.5141089,2.0443678,-6.6208396,-14.219874
-365.4332,259.17947,-34.652103,-52.89583,26.794933,4.825947,-13.910645,17.918022,15.779678,-7.210083,-9.687786,-7.9270782,-8.1398115
-343.52032,233.17194,-24.190735,-34.779972,30.04211,5.0009613,-10.784749,13.445514,9.160622,-3.9815354,-5.9355874,-11.610157,-11.755449
-354.15527,217.78613,-32.02775,-39.612362,30.170689,9.909523,-10.235891,17.864239,16.027615,-2.163113,5.2647734,1.8034623,-15.5365925
-376.12112,205.07831,-8.571451,-33.585976,24.695911,16.168661,-1.195221,16.515976,18.051964,3.2092643,4.9442787,4.8554187,-2.340762
-370.1329,215.04411,4.631612,-24.810503,22.845005,7.735301,-12.493042,7.7811174,19.843113,6.5540237,-2.8370318,-3.4896321,-7.9105268
