0,1,2,3,4,5,6,7,8,9,10,11,12
-405.06964,213.74103,-3.4556046,-26.576431,23.548054,-1.8147488,-38.242966,-18.11467,-4.1399317,-13.77822,-9.4788265,-9.724709,-19.161673
-452.43405,208.69441,-9.756369,-16.58582,39.56716,8.618841,-32.36224,-8.407177,-4.8312283,-27.545723,-16.73905,-4.229521,-8.907199
-497.31696,230.54662,-17.181149,-13.9449005,61.37227,17.289858,-27.576534,-8.900156,-8.054466,-23.863735,-7.744523,5.1823673,-7.9958544
-484.91858,207.55956,-0.9812501,-19.982458,34.872826,6.484541,-27.71514,-9.8223915,-0.15372297,-6.2005315,-3.4163876,-6.0114765,-13.131796
-498.42465,205.74559,-12.657965,-8.855488,60.241188,32.41009,-27.38149,-14.932259,1.0745173,-7.124763,-5.3988113,-2.4802542,-13.252577
-449.8189,204.21524,-31.983555,-18.591307,42.898994,14.650026,-39.195633,-15.815132,-4.277179,-19.796003,-14.479574,0.15555549,-6.5790377
-499.9279,207.96355,-2.140975,-8.3953705,46.392654,14.351433,-30.088608,-11.730795,9.708229,-5.178387,-9.12279,-3.8926835,-7.888682
-468.5285,207.06543,-19.349335,-13.027107,43.16353,11.897177,-19.194029,-9.219852,-14.021429,-27.011864,-3.1652179,2.4916277,-13.615065
-445.25177,211.72217,-4.1870427,-8.642836,38.277557,-11.47557,-42.402035,-12.021151,4.838894,-14.117643,-12.980674,-7.189699,-16.238735
-445.56564,246.70134,-18.583168,-26.452324,43.867935,7.540663,-23.560463,-6.5929127,-9.969166,-24.196882,-2.7716584,3.9732378,-13.676546
-525.14996,204.15424,-21.82692,-25.864872,52.271034,23.536715,-21.052246,-19.293392,-10.253099,-18.21287,-2.3827472,5.472517,-5.374342
-465.23163,188.93271,-6.368516,-3.4032264,45.67293,13.592675,-21.36762,-8.521271,-3.7341413,-14.541058,-2.789516,1.9880505,-11.363911
-474.13925,221.79562,-2.0766852,-24.083424,28.535528,0.50230765,-25.164604,-4.5689783,1.47007,-11.904066,-6.7723875,-2.8514843,-5.4981265
-456.4399,226.10432,-27.135422,-29.56256,54.741165,26.012974,-25.254349,-17.68532,-17.169231,-18.224682,-3.413943,4.2709517,-10.091684
-540.38544,185.8112,-22.506802,-21.81771,37.16462,18.275547,-17.210983,-7.4201813,-3.2189217,-12.848131,2.2181666,2.9497929,-7.7142034
-459.00754,179.00156,-9.25201,-5.8024035,65.85133,22.370869,-33.659924,-22.98101,-1.4113755,-10.870045,-11.098434,-7.824572,-14.22744
-477.50043,189.86101,-26.7247,1.3874853,71.76058,17.31,-37.11902,-8.202686,-3.1366005,-17.551289,-9.131657,3.3901176,-7.9562798
-475.92197,243.36224,-16.131155,-22.901886,42.651535,0.8323677,-29.152443,-3.160281,1.9213274,-12.636635,-7.180249,-4.18997,-11.911481
-488.33694,248.08762,-0.5909233,-23.047447,44.745327,18.45707,-25.51382,-12.086342,-4.6939583,-15.552284,-1.633057,-0.80156493,-14.440477
-478.86276,223.4676,2.5555542,-23.079973,29.334282,16.150007,-17.074717,-9.166084,-5.1409206,-12.2138195,-9.162512,-3.4668384,-11.754515
