0,1,2,3,4,5,6,7,8,9,10,11,12
-292.0197,157.93451,-4.255063,33.384727,11.650305,8.518444,8.520883,4.3277707,7.726843,3.0469813,5.3001294,2.7492864,0.9468742
-257.91647,135.11298,-31.407848,39.07988,2.6407557,16.664455,3.153033,5.5011215,3.5217152,1.3300189,-1.6732244,-3.4785032,-0.642782
-284.32114,141.83615,-34.32599,34.146473,3.0162423,12.7873745,6.438738,7.0369916,4.5943785,2.1708333,3.1396337,0.36591864,1.9823463
-255.83171,146.74728,-22.29332,36.119125,4.500576,11.732578,4.9751773,5.0984316,1.9571141,0.41312206,2.834088,-0.14411166,3.1516519
-262.15817,153.9317,-18.52929,37.334442,10.941868,14.535721,10.388646,9.211546,9.28358,5.9840736,7.6176686,4.4782977,2.6994853
-253.80702,133.50877,-34.894646,38.79108,1.8196745,16.154844,2.2328327,5.438411,-0.82965136,-0.33996582,-0.20993686,-1.0101013,1.7905345
-277.2814,138.22775,-24.44567,35.052048,9.108953,13.570434,6.084592,5.0685873,4.6565585,1.6397636,1.2128861,0.911944,2.8977838
-253.41373,143.77454,-25.266472,32.310127,7.4011793,9.59342,6.8777056,3.1173146,2.0180178,-0.11680952,0.49726224,-1.99309,0.5670075
-190.67198,118.74286,-46.18305,62.009197,7.2704945,29.540625,-9.355142,18.36787,-2.1723769,12.377586,1.1968267,-2.8352556,1.2661929
-189.64177,108.24948,-53.011253,54.678745,-0.60237753,27.215988,-18.248238,16.048973,-6.433706,4.021158,-4.822441,-6.7452703,-5.8580666
-189.89085,116.381226,-53.619164,49.678833,-2.6212354,34.006992,-17.026573,7.083884,-6.2539515,2.5897884,-0.26867247,4.857931,-2.3050444
-190.59967,128.19096,-37.61676,61.84694,-4.5495787,33.880642,-7.186222,4.954752,-6.1714616,3.313147,-2.647098,-1.938577,-0.6578367
-174.56638,132.68802,-57.695564,45.177235,-13.41231,17.821632,-8.522224,20.113735,-3.849075,0.8693851,2.3397968,4.85814,-6.3753533
-182.95114,112.690765,-48.188805,50.99772,-11.726679,34.243324,-12.238262,8.157228,-9.245092,0.44601735,-0.13051057,-1.5844512,-11.080132
-175.12627,124.89871,-53.914837,52.340202,-5.933118,19.769966,-12.111336,17.357147,-2.6481352,5.3375864,3.103985,9.03944,6.098859
-170.98288,130.8758,-47.797573,54.199043,-7.5427947,16.907616,-4.4613166,18.901556,-2.5080798,4.660787,4.0368624,3.8633764,-2.963458
-185.49654,136.10394,-49.578644,44.019173,-17.961153,11.942533,-16.062437,17.412643,-4.43396,-1.754426,-4.1617837,2.1226892,8.250652
