0,1,2,3,4,5,6,7,8,9,10,11,12
-477.6192,125.07204,0.0,-18.232418,9.428236,3.2259178,-14.092045,-1.9094056,0.0,-7.9709625,-2.628593,7.6151485,0.0
-358.87814,206.32584,-6.4402733,-9.145958,40.453896,17.053425,-14.098658,-8.11768,-12.20076,-21.96884,-11.195603,-4.6805315,-4.0116186
-329.82483,177.5387,-8.816708,-9.089417,43.229473,12.906359,-17.659492,-2.218947,0.46505392,-16.266022,-9.147303,-2.678737,-11.044361
-220.391,237.67734,-14.32917,-23.998001,53.02768,27.039581,-16.498623,-1.5710449,1.421595,-11.367947,-12.004749,-4.8584414,-6.0479746
-278.29926,256.05002,24.535778,-18.590248,28.63472,15.596746,-18.931185,0.4728537,10.502254,-4.115794,-4.0106297,5.9139605,5.0399504
-261.13242,251.06557,12.31311,-16.521526,36.026215,9.587279,-19.121037,5.052379,11.07921,-11.170578,-11.149547,3.6116843,4.3478146
-289.38974,229.53586,2.9376373,-3.8875852,56.256638,34.760777,-13.13161,1.5714924,4.0210686,-15.1964855,-9.856232,5.072282,-1.505065
-240.76521,240.05998,-14.663296,-21.361147,41.527466,10.108362,-18.24604,10.445307,3.8721356,-16.171427,-10.890661,3.7887015,1.2733414
-287.61154,216.14163,-25.736084,-14.92951,64.07778,22.505295,-14.872527,-1.7405117,-2.5494826,-15.401081,2.9121141,-0.21855259,-11.605267
-337.45093,208.99118,-5.502067,-5.8717766,48.16838,22.54419,-12.909063,-2.0285888,6.398308,-6.439002,-8.469835,-2.7067418,-4.479722
-328.42554,224.01364,16.516827,-8.559108,39.738552,6.768977,-18.965038,-0.3504554,7.799569,-8.869154,-9.573206,2.4347644,0.5428407
-350.05444,183.7284,-8.680634,-18.218807,30.452227,14.431436,-11.743423,1.1889446,2.3718078,-11.701469,-7.359536,3.795192,0.01627621
-306.0169,239.16971,-7.908312,-24.646832,41.6245,19.31678,-21.361748,-2.9438262,1.9670054,-15.053513,-15.759111,0.24250108,-1.5341231
-339.70297,215.84103,4.7229834,-12.321288,52.920773,30.746777,-11.3358,1.2194066,2.028076,-16.996336,-10.609282,0.83700585,-4.099428
-300.05713,223.82755,-1.2878504,-34.636738,18.91288,7.8795385,-26.158165,-4.39324,8.658042,-6.331683,-5.661292,4.037855,1.6713223
-283.1133,234.06538,-30.063072,-18.87909,30.645002,6.429005,-22.610027,-0.6084692,3.2780704,-16.895903,-14.463173,0.7630755,-0.87283885
-288.78424,244.33841,-0.27620846,-28.482042,15.741971,1.9441884,-15.496496,1.3288989,6.4118075,-11.475327,-11.786261,-2.0948603,-1.7243184
-256.32877,224.59308,14.992149,-12.803196,26.936344,2.459,-9.756946,14.967082,8.875852,-13.3680935,-7.478262,-2.2583504,-5.02707
-232.88594,260.73743,-10.837704,-24.378223,41.902058,17.247406,-9.494198,4.108284,-1.6954675,-13.446325,-5.851368,1.3941382,-3.92772
-275.30923,207.03912,4.0182486,-10.420286,48.95829,20.663017,-7.2195597,-1.1075848,1.3878276,-0.88865155,-3.0987453,-0.80037683,-0.59774494
-235.97021,219.09735,-37.206608,-23.0914,55.91829,19.549768,-17.173542,-2.4106116,-5.7658415,-15.349005,-2.2308478,0.60198015,-11.125696
-239.41695,234.139,-36.54567,-25.244596,48.94023,16.316715,-12.403783,5.46609,-5.450112,-26.28086,-10.708542,-1.7403982,-7.2563496
-295.42017,229.14948,1.967345,-19.919472,36.312576,8.03311,-22.871674,-3.7860613,12.986155,-9.618635,-14.239112,4.7413425,5.0074205
-261.68637,251.94202,4.9806185,-33.67369,36.758484,13.72575,-21.298443,-0.34493092,1.9160684,-21.591606,-16.015768,-1.007592,-1.075781
-202.05774,250.80783,-17.759178,-38.355213,37.799694,4.253901,-28.522974,3.246461,5.467551,-22.470407,-14.552576,4.770479,-0.2354161
-315.58493,207.64056,24.972998,-10.138851,23.093441,9.539296,-10.047018,-0.32944572,6.9328165,-8.694258,-10.811611,-4.3892555,0.33420753
-281.24936,233.75928,20.13107,-19.334404,16.749372,6.0826044,-16.820557,-0.46121666,4.556777,-15.681658,-15.590221,-2.3793967,-1.2665199
-255.88077,227.43231,-7.6477127,-22.77029,33.702507,18.926443,-12.449387,1.7949572,4.0400853,-16.319351,-8.242269,1.3919969,-2.9393396
-239.76733,217.74405,-26.264587,-23.388556,38.492413,4.467517,-18.38607,7.017846,-3.3314352,-21.679293,-12.195755,0.9206716,-3.1780896
-287.39398,233.9873,-35.34455,-23.674486,47.594883,10.189579,-24.080437,0.21024323,0.6723342,-18.843979,-10.520908,3.031669,-5.3142624
-283.2148,199.16846,0.5622088,-8.354218,43.609722,23.533611,-9.804727,2.7500625,-2.5779376,-12.143364,-2.2686186,0.44585013,-5.446233
-218.7599,252.46692,-19.333572,-25.137154,31.41538,1.7482759,-20.428242,4.707977,2.5760708,-17.018057,-8.080456,-1.969271,-2.3490639
-205.37408,229.34476,-22.703945,-20.378748,36.30092,-6.154474,-23.541553,12.167549,0.0034477115,-22.412434,-4.238405,-0.2971989,-1.9017789
-226.73767,252.67538,-8.21558,-32.250206,26.456799,10.46349,-24.10725,6.5194945,-0.30518794,-20.085464,-11.333382,2.4503684,-2.6667433
-222.93127,239.43164,-36.203407,-38.876213,42.214058,13.879517,-9.532513,-0.49610037,-5.3523364,-17.7655,-10.271463,1.9397285,1.2509211
-266.33276,227.00986,8.937704,-16.281336,29.22244,11.994568,-14.191923,-4.7540426,-10.076622,-17.124723,-7.2719,-6.4173136,-8.406094
-314.39273,186.74692,1.044281,-27.570286,18.111444,9.105452,-15.642221,4.185553,2.9130478,-14.105363,-5.6812363,5.157907,2.5607777
-276.84167,218.49673,-4.737215,-37.929688,13.257774,15.063057,-1.9273936,11.31406,-6.290296,-17.709341,-8.892142,1.9843581,2.2091303
-283.02728,236.72684,-25.64598,-45.933624,16.205067,-6.3621473,-19.892056,17.188192,11.858334,-14.852593,-7.4308586,5.037999,-3.5373325
-270.34732,266.75574,-9.903057,-47.892624,22.179762,-11.713544,-24.35085,12.758402,9.8345375,-17.762482,-10.528406,2.9183831,-2.349615
-472.06128,123.609184,16.1399,-13.771399,22.38581,15.067079,-0.92308944,3.6447573,3.3651047,-7.488701,0.12786956,8.38525,5.182931
-262.69763,232.98457,-6.817626,-21.336903,26.395632,5.7011843,-7.6742306,9.100588,-4.6564198,-19.985512,-10.839331,-4.17314,-4.0585403
-284.2006,194.28569,-8.476517,-6.5745935,44.878628,16.046043,-13.778154,-7.0059414,-3.7787046,-7.83496,-3.4713407,-3.138349,-6.2163515
-331.98257,170.89954,-16.508892,-26.873913,21.202106,12.658485,-10.174175,6.5488634,3.4095993,-5.2897005,4.922942,8.89383,2.37874
-305.56448,223.47272,11.658415,-13.870001,12.880369,9.387323,-11.9916115,2.28722,5.4221764,-8.7963295,-5.555935,2.048066,0.10109925
-259.6629,188.02007,-9.787441,-6.1111526,55.6977,18.101463,-11.621047,9.963554,2.4068096,-10.098661,-3.6543198,-4.6053076,-6.8990026
-287.34055,186.98016,-2.5915534,-10.041649,34.770668,14.339996,-1.8647988,-2.8759518,-12.690941,-15.004822,0.46060824,1.7807629,-10.490341
-245.29065,226.10867,-18.988338,-14.158407,46.695267,4.0438156,-14.965811,15.077684,0.32042015,-19.978848,-4.5229764,-1.747992,-11.936193
-259.9467,217.60907,-28.287258,-22.456682,33.88081,8.63703,-16.829527,-3.7806091,0.723651,-10.709246,-3.6137295,1.8747045,-5.7233987
-235.49678,246.18042,-3.238884,-16.927769,41.911507,12.1505375,-20.850042,-10.167164,-11.664265,-21.819736,-5.2011213,-1.9300387,-6.6198626
-224.65518,260.1059,-34.479336,-39.65187,48.287067,11.738904,-31.970116,5.1416154,5.6204467,-22.593338,-12.142555,0.16558492,-3.1676335
-258.19406,236.16608,-51.288193,-36.966393,50.21263,6.8190594,-26.56261,5.4134817,-6.389007,-20.618984,-0.8524109,4.6326113,-3.722908
-264.30566,227.78648,-16.829655,-21.028648,41.070843,-2.3518217,-28.189444,-4.6299243,-8.65509,-22.507381,-2.2906296,1.673836,-15.483168
-244.58359,250.48975,-23.573767,-34.385246,32.896248,9.7282505,-21.610504,6.6780205,4.1071663,-20.920128,-9.141746,-0.97706825,-5.892036
-259.1391,235.10254,-10.237053,-29.231087,42.169556,25.538956,-18.69329,-8.497522,7.5840096,-3.115806,-9.387474,0.055083215,-3.6641116
-265.28406,197.94768,-3.0767722,-3.7021499,40.572258,7.9847145,-9.528868,1.1343001,-0.58123326,-8.649397,-1.6896784,-1.9615701,-8.8513155
-285.2795,176.47726,-13.378442,-26.209282,31.302198,15.612471,-20.78165,-4.375428,-3.5721745,-12.380457,-7.9424114,-0.036859572,-7.1488147
-286.27475,218.69794,-35.646812,-10.360054,51.389378,2.8944886,-25.501019,3.7435641,0.9624775,-11.098862,-4.92986,-5.1226616,-5.1489344
-262.32193,222.93517,-35.786377,-19.51191,42.160995,12.605722,-19.063301,3.6208591,-0.48309007,-15.975712,-2.0353484,-5.555523,-6.208969
-272.56186,192.55032,-33.517075,-10.057468,47.65361,7.0713043,-25.889147,6.3381276,-3.7485502,-10.392269,-1.39601,-0.47570568,-6.866503
-311.80157,195.5245,-31.273548,-2.3581073,58.930202,11.726719,-8.345199,9.339908,-0.48176455,-10.381826,-2.7708535,-6.5100446,-9.226332
-270.0326,227.21321,-22.041441,-22.160656,44.452316,8.303604,-29.77761,-2.558052,0.2978527,-15.871681,-7.9282675,-0.25890797,-9.662195
-284.0199,209.52997,-42.183174,-25.096392,49.96794,6.189659,-19.123112,7.8755045,0.15187371,-17.0322,-2.6714926,-1.100413,-9.870004
-362.1159,157.71155,30.999043,-1.802102,25.357212,17.496517,1.8872412,6.518602,5.9801044,-1.1650852,2.5201116,8.302285,0.54355013
-274.3115,208.10974,-30.312698,9.37644,72.80986,14.914896,-16.927269,9.86433,7.424837,-5.0492544,-1.2775949,-5.426426,-5.0495496
-228.8837,270.72302,-4.101594,-18.769518,46.68754,12.629855,-21.39542,9.971273,9.452602,-18.265213,-12.14756,1.8148409,-1.7363206
-233.99641,258.17416,-19.71772,-34.386173,45.08752,17.634295,-18.645443,7.896241,6.1541786,-14.945512,-8.103054,1.4661627,0.37459838
-227.04813,238.34467,-26.764912,-16.983063,48.42298,2.4215245,-27.10475,0.15489241,-4.3606534,-19.875713,-5.918934,-5.038467,-8.803285
-202.77719,263.8114,-19.423958,-33.096077,37.325115,-1.5385388,-31.258282,3.5499024,4.8130674,-19.311296,-7.653537,4.8751,-4.626956
