0,1,2,3,4,5,6,7,8,9,10,11,12
-834.34094,221.33087,-57.438965,-55.113346,47.80796,14.636595,-31.729992,5.111332,20.825294,-14.668922,-8.640363,15.378313,0.0
-815.0816,230.719,-70.28105,-60.024452,54.83,12.952063,-38.15266,10.320846,25.186722,-15.859382,-8.675144,18.218304,-1.1520091
-641.8042,120.484085,-32.297783,-39.258366,23.968315,15.526976,-19.246155,-0.86851096,15.305927,-4.018417,-9.9354,8.172358,3.8161259
-480.10205,269.52362,2.283902,-50.90629,15.201518,4.319112,-30.29385,-3.1869516,13.940386,-22.651642,-31.909771,-5.00709,-2.4725268
-478.38647,281.2801,0.15554732,-50.032978,20.37452,5.962291,-38.047974,-15.192971,5.19687,-18.554287,-18.95549,-0.5733698,-10.984892
-467.7807,282.83112,1.2731553,-48.947147,24.457735,9.069226,-34.357483,-12.79496,5.381487,-18.401648,-18.098034,-3.6616757,-15.960342
-467.33298,280.64014,3.493551,-44.800556,30.225157,20.38791,-34.378197,-15.468687,3.0220728,-14.3393,-14.772919,1.1009146,-12.343815
-470.65378,279.21613,5.3279834,-42.803177,28.612717,17.098751,-26.305304,-6.0897655,8.419802,-23.062082,-29.16444,-5.3391027,-5.1099954
-485.38892,258.69363,13.145956,-36.399765,27.559242,15.92485,-25.874413,-12.702837,-0.94932437,-22.663559,-22.441668,-0.8657845,-7.4626045
-470.04953,273.24652,6.526676,-41.80964,33.01804,19.06823,-28.104837,-9.564035,8.334003,-14.601927,-21.617779,-6.149874,-15.581871
-472.86945,272.54413,2.7801108,-47.58039,24.336002,14.249556,-28.777344,-10.842443,7.88406,-17.981668,-24.61496,-1.3601253,-4.2723885
-470.60364,275.80536,-2.2263494,-50.70515,21.62622,5.1763563,-36.353905,-6.8949075,11.17096,-22.755861,-33.093445,-7.961495,-8.659374
-460.47946,281.07697,3.5258656,-42.85002,27.20097,4.422233,-42.24413,-17.523792,5.0285444,-12.777199,-11.9479475,4.2020016,-13.068419
-456.68185,287.19742,-3.9127064,-53.382484,24.54292,8.513516,-35.14389,-10.024824,9.531763,-14.233229,-19.15173,-5.6637397,-15.3384285
-462.5104,293.03125,2.2201629,-49.071754,27.919594,19.582932,-24.763721,-2.4743853,9.318428,-19.45432,-20.892393,4.4383554,0.9566414
-482.20978,285.30875,14.744923,-43.363274,23.013187,12.918274,-25.042759,0.04752934,13.7853,-15.863873,-23.547985,-0.26612955,-4.008502
-491.54425,278.3693,22.913784,-33.62346,20.62077,7.5297318,-22.459759,3.9094136,12.476436,-19.63139,-23.454708,-0.041389704,-7.5894594
-492.13086,280.32227,20.519844,-36.0217,27.429316,6.633628,-25.187721,3.1923084,19.118084,-12.691931,-23.686941,0.79930425,-3.4522371
-467.70578,263.38477,23.08749,-29.703844,31.73096,25.894098,-14.687985,-5.301606,5.653713,-12.697763,-11.572224,10.323147,1.9296345
-471.36667,264.98273,11.222374,-37.512062,45.583874,30.289257,-20.128181,-7.386243,7.4497666,-16.901167,-20.15427,2.735157,2.798991
-479.64554,270.74237,16.3326,-25.981504,41.165337,26.915993,-22.148727,-11.784703,4.7449555,-11.473118,-12.0996,8.128229,2.617321
-486.07034,277.28525,18.171028,-34.052414,38.92646,28.537302,-19.012108,-13.995498,3.7507987,-11.620125,-12.062592,7.6832824,3.840582
-542.91986,241.47606,32.870125,-3.6294007,49.664116,29.77053,-17.820152,-5.752408,13.888893,1.267472,-2.5326297,10.950409,4.9160404
-558.7662,234.23709,30.737448,0.0965758,52.348557,23.734337,-20.964476,1.7389417,20.080158,-0.9513557,-3.536351,12.5319805,2.5185478
-493.26752,261.06638,-7.419121,-27.683979,61.171513,30.430147,-27.570301,-3.159304,12.460771,-18.555206,-16.286587,8.670357,-0.8591626
-453.04883,286.849,5.810162,-46.00229,35.31815,33.501106,-15.986389,-2.217649,15.4206295,-10.496911,-19.942429,1.2130346,-2.7984328
-469.62195,284.07678,8.852481,-36.372543,39.649994,21.410189,-27.187384,-8.569807,7.4168434,-17.33025,-17.65579,4.955057,-3.412973
-491.80804,265.2372,23.930367,-19.73838,38.633907,19.461702,-25.632946,-7.122983,9.968958,-12.528998,-15.374544,2.5678144,-4.315498
-515.80524,254.4637,38.976585,-0.98198414,43.321182,12.226507,-33.30806,-9.916341,12.8658,-4.761069,-10.832031,3.3401885,-5.627245
-524.7426,256.74426,39.721497,1.1072087,46.524387,10.178675,-36.16061,-10.870946,12.701411,-6.590086,-12.201718,2.3163922,-6.387865
-527.1309,257.62732,37.78193,-0.024327487,46.91555,11.3545265,-37.555237,-12.6552925,10.881031,-7.268781,-10.236465,4.6098166,-3.813992
-483.5969,208.4055,54.721684,15.278061,38.24115,11.037392,-27.630745,-13.949873,9.000996,0.19813049,-6.633038,3.3039658,-1.5717583
-429.33167,223.8137,7.4557943,-14.751958,61.141747,28.39162,-26.490372,-8.480116,17.865559,-5.290387,-11.259117,5.5325956,-0.02133429
-434.15094,213.01051,-2.4322448,-14.779634,64.215385,32.927723,-25.822897,-7.7648487,14.134363,-4.6545124,-10.3042345,6.241109,-1.7223531
